entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,es_decline_pct
2015-06-18 08:46:00,2015-06-28 00:00:00,2104.0,2095.5,-0.4539923954372582,4,MA Crossover,long,-0.332699619771859,0.0,-0.4039923954372582,-1.7585551330798532,-0.5
2015-07-14 00:00:00,2015-07-24 11:26:00,2093.75,2083.725,-0.5288059701492542,5,Trailing Stop Loss,long,0.8119402985074631,1.2417910447761304,0.5850746268656781,-0.40597014925373154,-0.5
2015-07-29 01:34:00,2015-08-04 00:00:00,2089.0,2089.25,-0.038032551460026556,4,MA Crossover,long,0.4906653901388225,-0.1316419339396857,-0.34705600765916333,-0.4427955959789398,-0.5
2015-08-05 02:16:00,2015-08-07 09:28:00,2089.0,2068.11,-1.0499999999999898,1,Fixed Percentage Stop Loss,long,-0.7898516036381031,-1.1010052656773572,-0.4427955959789398,-3.5423647678314962,-0.5
2015-08-10 07:21:00,2015-08-11 20:27:00,2088.0,2067.12,-1.050000000000001,1,Fixed Percentage Stop Loss,long,0.03591954022987842,0.08381226053639779,0.1436781609195359,-9.219348659003835,-0.5
2015-08-12 21:33:00,2015-08-19 00:00:00,2088.0,2091.0,0.09367816091953589,4,MA Crossover,long,0.08381226053639779,0.1436781609195359,-3.4961685823754807,-5.07662835249042,-0.5
2015-08-19 00:00:00,2015-08-19 10:25:00,2091.0,2070.09,-1.0499999999999898,1,Fixed Percentage Stop Loss,long,-3.634624581539936,-8.249641319942613,-7.293161166905781,-6.8627450980392135,-0.5
2015-10-06 00:00:00,2015-10-22 15:04:00,1970.25,2049.06,3.9500000000000037,3,Take Profit,long,0.2410861565791178,1.83986803705114,1.1927420378124554,3.0072325846973724,-0.5
2015-10-23 09:49:00,2015-11-09 10:15:00,2064.0,2068.045,0.14597868217053894,5,Trailing Stop Loss,long,-0.04844961240310086,1.4413759689922534,0.4844961240310086,1.429263565891481,-0.5
2015-11-10 00:00:00,2015-11-12 08:16:00,2077.0,2056.23,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.10832932113625793,-3.081367356764564,-1.4564275397207505,0.49350024073182563,-0.5
2015-11-16 01:03:00,2015-11-20 08:46:00,2011.75,2092.2200000000003,3.9500000000000037,3,Take Profit,long,3.5292655648067495,3.8275133590157884,3.752951410463523,4.374300981732326,-0.5
2015-11-23 13:03:00,2015-12-03 11:20:00,2083.25,2062.9,-1.0268390735629407,5,Trailing Stop Loss,long,0.31201248049921304,0.34801392055683333,0.7920316812672468,-0.9600384015360564,-0.5
2015-12-04 02:05:00,2015-12-08 00:00:00,2060.75,2072.25,0.5080492539124071,4,MA Crossover,long,0.12131505519834551,-0.3518136600752175,-3.0086133689190775,-3.202717457236448,-0.5
2015-12-08 00:00:00,2015-12-08 08:37:00,2072.25,2051.5275,-1.0499999999999898,1,Fixed Percentage Stop Loss,long,-1.1219688744118717,-3.546869344914949,-1.4718301363252473,-1.8940764869103677,-0.5
2015-12-16 14:39:00,2015-12-17 09:50:00,2067.25,2046.5774999999999,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-3.507074616035799,-1.6567904220582852,-0.7981618091667642,-1.5237634538638245,-0.5
2015-12-29 10:49:00,2015-12-31 08:31:00,2064.25,2043.6075,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-1.380646723991763,-1.380646723991763,-5.074482257478508,-8.47765532275645,-0.5
2016-02-22 15:52:00,2016-02-23 15:30:00,1934.0,1914.66,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.10341261633919352,0.37487073422957096,2.4819027921406445,2.6370217166494347,-0.5
2016-03-02 09:31:00,2016-03-10 11:42:00,1968.5,1970.045,0.02848615697232386,5,Trailing Stop Loss,long,1.3335026670053374,0.8382016764033606,1.7018034036068164,3.2512065024129955,-0.5
2016-03-11 00:00:00,2016-04-07 13:09:00,1992.25,2030.07,1.8483561300037532,5,Trailing Stop Loss,long,0.627431296273051,1.3678002258752597,2.3340444221357837,1.9073911406700894,-0.5
2016-04-08 00:00:00,2016-04-29 08:28:00,2040.75,2063.145,1.047390665196607,5,Trailing Stop Loss,long,-0.2082567683449721,1.604802156070062,1.6660541467597767,2.217322062967053,-0.5
2016-05-02 00:00:00,2016-05-03 00:00:00,2058.75,2073.5,0.6664541590771067,4,MA Crossover,long,-0.2671523982999413,-0.8378870673952599,-0.012143290831811981,0.2064359441408703,-0.5
2016-05-03 00:00:00,2016-05-03 09:04:00,2073.5,2052.765,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.988666505907887,-0.9283819628647216,0.036170725825890315,-1.5312273932963638,-0.5
2016-05-04 09:32:00,2016-05-15 17:00:00,2048.5,2038.155,-0.5550036612155196,5,Trailing Stop Loss,long,0.2806931901391252,1.2570173297534737,0.20746887966804906,-0.1952648279228697,-0.5
2016-05-16 10:32:00,2016-05-17 14:26:00,2058.25,2037.6675,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-1.0567229442487558,-0.40082594437022,1.0324304627717718,1.8340823515122118,-0.5
2016-05-24 08:37:00,2016-06-13 01:23:00,2061.25,2077.355,0.7313220133414233,5,Trailing Stop Loss,long,1.406913280776223,1.8071558520315278,1.5645845967252825,2.583383869011513,-0.5
2016-06-16 19:47:00,2016-06-17 10:30:00,2074.25,2053.5075,-1.0499999999999898,1,Fixed Percentage Stop Loss,long,-0.6990478486199825,0.5785223574786169,-2.699771001566831,1.0606243220441014,-0.5
2016-06-19 17:02:00,2016-06-23 20:05:00,2073.75,2077.11,0.11202531645570506,5,Trailing Stop Loss,long,0.3857745629897602,-3.604581072935509,-2.6763110307414073,1.0849909584086825,-0.5
2016-06-29 15:48:00,2016-07-13 07:36:00,2067.5,2150.2000000000003,3.9500000000000037,3,Take Profit,long,1.3905683192261264,0.253929866989111,1.0399032648125806,4.2200725513905635,-0.5
2016-07-13 10:38:00,2016-08-28 00:00:00,2141.25,2167.25,1.1642440163456003,4,MA Crossover,long,0.22183304144776095,0.7472270869818942,0.7589025102159974,0.8639813193228152,-0.5
2016-08-29 00:00:00,2016-09-09 00:00:00,2166.75,2171.5,0.1692223376024094,4,MA Crossover,long,0.42690665743625456,-0.03461405330563716,0.5769008884273674,-0.9230414214837945,-0.5
2016-11-09 09:56:00,2016-12-07 11:56:00,2134.75,2220.14,3.9500000000000037,3,Take Profit,long,1.2062302377327638,2.1079751727368645,2.2250849045555743,3.232228598196518,-0.5
2016-12-08 00:00:00,2017-02-13 12:35:00,2239.25,2328.82,3.9500000000000037,3,Take Profit,long,0.7368538573182981,1.2169253098135435,0.91548509545607,0.8931561906888374,-0.5
2017-02-14 00:00:00,2017-03-21 00:00:00,2324.25,2374.25,2.1012315800795935,4,MA Crossover,long,1.0541034742389987,1.0433473163385942,1.5919113692588915,1.860815316768849,-0.5
2017-03-28 00:24:00,2017-04-13 14:35:00,2343.25,2327.5,-0.7221433905899965,5,Trailing Stop Loss,long,0.7574949322522118,0.6081297343433212,-0.04267577083111318,-0.1386962552011095,-0.5
2017-04-25 00:00:00,2017-05-17 14:54:00,2372.75,2356.41,-0.7386524075439993,5,Trailing Stop Loss,long,0.46359709198187105,0.3371615214413648,0.4214519018017171,0.7164682330629057,-0.5
2017-05-18 01:03:00,2017-06-29 12:29:00,2364.0,2402.47,1.5773265651438162,5,Trailing Stop Loss,long,0.761421319796951,1.8929780033841048,2.1467851099830737,3.098561759729268,-0.5
2017-06-30 00:00:00,2017-08-10 00:00:00,2420.25,2467.0,1.881618634438581,4,MA Crossover,long,0.17560169403987302,0.27889680818098395,0.12395413696932867,1.5390972007023995,-0.5
2017-08-14 01:02:00,2017-08-17 15:43:00,2449.5,2425.005,-1.050000000000001,1,Fixed Percentage Stop Loss,long,0.6429883649724522,-1.0002041232904713,-0.04082465809348568,-0.030618493570111482,-0.5
2017-08-31 00:00:00,2017-10-15 21:34:00,2457.5,2555.8,3.9500000000000037,3,Take Profit,long,0.6612410986775119,0.03051881993896277,0.254323499491349,1.4242115971515812,-0.5
2017-10-19 00:06:00,2017-12-01 10:33:00,2558.75,2605.33,1.770420127015132,5,Trailing Stop Loss,long,0.576453346360517,-0.009770395701025336,0.7230092818759193,0.8793356130923247,-0.5
2017-12-02 00:00:00,2018-01-08 14:53:00,2642.75,2748.46,3.9500000000000037,3,Take Profit,long,0.0,-0.2932551319648091,0.45407246239712595,1.5230347176236947,-0.5
2018-01-09 00:00:00,2018-01-24 09:15:00,2744.5,2854.28,3.9500000000000037,3,Take Profit,long,0.33703771178721365,1.6305337948624432,1.4483512479504412,3.4432501366369106,-0.5
2018-01-25 00:00:00,2018-01-30 09:05:00,2840.0,2820.93,-0.7214788732394395,5,Trailing Stop Loss,long,1.223591549295766,-0.48415492957746276,-0.8098591549295819,-8.274647887323939,-0.5
2018-01-31 00:00:00,2018-02-02 04:13:00,2826.5,2798.235,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.33610472315585005,-8.3849283566248,-5.45727932071467,-4.22784362285512,-0.5
2018-03-09 07:30:00,2018-03-14 11:08:00,2750.25,2751.105,-0.018911917098446376,5,Trailing Stop Loss,long,0.6544859558222038,0.10908099263702287,0.19089173711481777,-5.590400872647939,-0.5
2018-04-20 00:00:00,2018-04-20 10:11:00,2696.25,2669.2875,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.7046824292999521,-1.780250347705148,-0.9179415855354645,-1.1961057023643917,-0.5
2018-05-09 00:00:00,2018-05-29 10:45:00,2670.25,2686.915,0.5740988671472713,5,Trailing Stop Loss,long,1.9380207845707265,2.115906750304286,1.9661080423181376,2.0222825578129378,-0.5
2018-05-30 09:30:00,2018-06-19 02:08:00,2707.25,2740.08,1.1626696832579053,5,Trailing Stop Loss,long,1.015790931757321,1.8284236771631823,2.299381290977931,2.964262628128167,-0.5
2018-06-20 00:00:00,2018-06-25 00:00:00,2768.5,2749.0,-0.7543525374751725,4,MA Crossover,long,-0.3612064294744477,-1.607368611161275,-2.0137258443200245,-1.905363915477698,-0.5
2018-06-26 09:18:00,2018-06-27 14:59:00,2729.5,2702.205,-1.050000000000001,1,Fixed Percentage Stop Loss,long,0.0,-0.3205715332478487,-0.5037552665323353,1.978384319472437,-0.5
2018-07-06 00:00:00,2018-08-02 04:36:00,2741.5,2792.5099999999998,1.8106602225059276,5,Trailing Stop Loss,long,1.869414554076232,1.5320080248039325,2.2888929418201753,2.2615356556629607,-0.5
