entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason
2016-06-24 13:30:00,2016-06-27 09:30:00,2033.5,2013.165,-1.050000000000001,1
2018-02-05 10:36:00,2018-02-05 12:11:00,2749.75,2722.2525,-1.050000000000001,1
2018-02-06 09:30:00,2018-02-07 09:52:00,2634.75,2713.7925,2.950000000000003,2
2018-02-08 11:23:00,2018-02-08 14:37:00,2635.0,2608.65,-1.050000000000001,1
2018-02-09 09:30:00,2018-02-09 09:47:00,2600.5,2574.495,-1.050000000000001,1
2018-10-10 14:41:00,2018-10-10 15:54:00,2802.75,2774.7225,-1.050000000000001,1
2019-08-05 14:07:00,2019-08-08 09:30:00,2823.5,2908.205,2.950000000000003,2
2019-08-14 15:00:00,2019-08-19 10:32:00,2842.5,2927.775,2.950000000000003,2
2020-02-24 09:33:00,2020-02-25 09:30:00,3240.25,3207.8475,-1.050000000000001,1
2020-02-25 14:34:00,2020-02-26 12:37:00,3123.5,3118.36,-0.2145589883143894,4
2020-02-27 10:01:00,2020-02-27 13:09:00,3061.0,3034.325,-0.9214472394642292,4
2020-03-02 14:48:00,2020-03-03 10:23:00,3061.0,3048.535,-0.45721986278994264,4
2020-03-04 11:29:00,2020-03-05 09:30:00,3064.0,3066.91,0.0449738903394115,4
2020-03-05 10:06:00,2020-03-05 11:24:00,3069.5,3038.805,-1.050000000000001,1
2020-06-11 09:43:00,2020-06-11 10:46:00,3101.5,3070.485,-1.050000000000001,1
2020-06-12 09:30:00,2020-06-12 09:57:00,3059.75,3029.1525,-1.0499999999999898,1
2020-06-15 11:19:00,2020-06-16 09:30:00,3019.75,3110.3425,2.950000000000003,2
2020-06-16 09:53:00,2020-06-16 10:01:00,3099.5,3068.505,-1.050000000000001,1
2020-06-17 09:30:00,2020-06-19 15:05:00,3099.75,3068.7525,-1.050000000000001,1
2020-06-22 09:30:00,2020-06-24 09:30:00,3091.5,3082.1,-0.3540595180333172,4
2020-06-24 09:30:00,2020-06-24 10:14:00,3080.5,3049.695,-1.0499999999999898,1
2020-06-25 09:30:00,2020-06-26 09:30:00,3047.25,3029.25,-0.6406965296578859,3
2020-06-26 09:30:00,2020-06-26 13:46:00,3029.25,2998.9575,-1.050000000000001,1
2020-06-29 09:38:00,2020-07-01 14:33:00,3025.5,3116.265,2.950000000000003,2
2020-09-03 12:03:00,2020-09-04 09:30:00,3442.0,3407.58,-1.050000000000001,1
2020-09-04 09:30:00,2020-09-04 09:37:00,3396.0,3362.04,-1.050000000000001,1
2020-09-07 09:30:00,2020-09-08 09:30:00,3429.5,3395.205,-1.050000000000001,1
2020-09-08 09:30:00,2020-09-08 13:39:00,3376.25,3342.4875,-1.0499999999999898,1
2020-09-09 09:30:00,2020-09-10 09:30:00,3394.25,3417.0,0.6202511600500837,3
2020-09-10 14:29:00,2020-09-17 09:30:00,3339.0,3351.11,0.3126834381551314,4
2020-09-21 09:36:00,2020-09-23 13:40:00,3223.5,3243.31,0.5645494028230169,4
2020-09-24 09:31:00,2020-09-28 09:30:00,3219.75,3316.3425,2.950000000000003,2
2020-10-26 10:32:00,2020-10-27 09:30:00,3382.75,3385.75,0.03868524129777011,3
2020-10-27 09:30:00,2020-10-28 09:30:00,3385.75,3351.8925,-1.050000000000001,1
2020-10-28 09:30:00,2020-10-30 09:30:00,3285.0,3267.075,-0.5956621004566232,4
2020-10-30 09:30:00,2020-11-03 09:30:00,3254.25,3351.8775,2.950000000000003,2
2020-11-03 11:04:00,2020-11-04 10:57:00,3366.75,3467.7525,2.950000000000003,2
2021-01-29 11:45:00,2021-02-02 09:30:00,3696.5,3807.395,2.950000000000003,2
2021-03-04 13:48:00,2021-03-05 10:18:00,3774.25,3736.5075,-1.050000000000001,1
2021-03-05 11:28:00,2021-03-09 11:12:00,3783.25,3896.7475,2.950000000000003,2
2021-05-12 14:21:00,2021-05-19 09:30:00,4062.5,4094.685,0.7422461538461433,4
2021-09-20 10:01:00,2021-09-20 13:36:00,4344.25,4300.8075,-1.050000000000001,1
2021-12-01 15:49:00,2021-12-03 13:20:00,4508.0,4501.875,-0.18586956521739467,4
2021-12-20 09:53:00,2021-12-22 09:38:00,4527.75,4663.5825,2.950000000000003,2
2024-04-15 14:17:00,2024-04-18 12:24:00,5096.25,5045.2875,-1.0499999999999898,1
2024-08-02 09:35:00,2024-08-05 09:30:00,5346.75,5293.2825,-1.0499999999999898,1
2024-08-05 09:30:00,2024-08-07 09:45:00,5190.75,5346.4725,2.950000000000003,2
2024-12-18 15:01:00,2024-12-20 10:43:00,5864.25,6040.1775,2.950000000000003,2
