entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,position_size,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2013-03-05 00:00:00,2013-03-10 00:00:00,1525.25,1545.0,1.2448696934928616,8,1.0,Time Exit (Days),long,0.8359285363055191,1.2948696934928616,1.3604327159482121,1.0162268480576886,30
2013-03-11 00:00:00,2013-03-16 00:00:00,1544.5,1552.5,0.4679669796050445,8,1.0,Time Exit (Days),long,0.09711880867595557,0.8255098737455446,0.2589834898025334,0.3399158303658112,30
2013-03-18 08:56:00,2013-03-23 08:56:00,1544.25,1553.75,0.5651853650639527,8,1.0,Time Exit (Days),long,0.2752145054233379,0.6151853650639527,0.9065889590416099,1.3113161728994571,30
2013-03-24 00:00:00,2013-03-29 00:00:00,1553.75,1563.75,0.5936041834271932,8,1.0,Time Exit (Days),long,-0.25744167337087287,-0.24135156878519748,0.6436041834271933,-0.4344328238133577,30
2013-04-02 02:02:00,2013-04-05 07:30:00,1557.0,1541.43,-1.050000000000001,1,1.0,Stop Loss,long,-0.40141297366731443,-0.6422607578676964,1.6217084136159299,-0.6262042389210021,30
2013-04-08 14:14:00,2013-04-13 14:14:00,1554.0,1582.0,1.7518018018018056,8,1.0,Time Exit (Days),long,1.8178893178893096,1.8018018018018056,0.7561132561132666,1.38352638352639,30
2013-04-16 11:54:00,2013-04-17 09:19:00,1566.5,1550.835,-1.050000000000001,1,1.0,Stop Loss,long,-1.6597510373444035,-1.1490584104691948,0.5745292052345974,0.9256303862112958,30
2013-04-21 20:44:00,2013-04-26 20:44:00,1556.5,1576.75,1.2509958239640129,8,1.0,Time Exit (Days),long,1.2206874397687084,1.3973658849983916,1.300995823964013,3.3729521362030113,30
2013-04-29 00:00:00,2013-05-04 00:00:00,1575.75,1609.0,2.060106298587966,8,1.0,Time Exit (Days),long,1.0153894970649002,1.0471204188481575,2.2687609075043635,3.5538632397271064,30
2013-05-05 00:00:00,2013-05-10 00:00:00,1609.0,1626.75,1.053169670602866,8,1.0,Time Exit (Days),long,0.15537600994406375,1.1808576755748978,1.2585456805469297,3.4648850217526395,30
2013-05-13 00:00:00,2013-05-18 00:00:00,1625.25,1664.75,2.3803953237963418,8,1.0,Time Exit (Days),long,1.3228734040916734,1.5382248884787009,2.3842485771419675,1.8920166128288063,30
2013-05-19 00:00:00,2013-05-22 14:20:00,1664.75,1652.035,-0.813778345096855,5,1.0,Trailing SL,long,-0.0450518095810204,-0.9010361916203635,-0.8860189217600234,-2.2375732091905687,30
2013-05-24 00:42:00,2013-05-29 00:42:00,1650.75,1654.75,0.19231409965167484,8,1.0,Time Exit (Days),long,0.34832651824927563,0.22716946842344932,-1.4084507042253502,-0.7117976677267879,30
2013-05-30 06:05:00,2013-05-31 14:52:00,1652.5,1635.975,-1.050000000000001,1,1.0,Stop Loss,long,-1.5128593040847238,-2.4508320726172483,-0.8169440242057457,-2.1028744326777593,30
2013-06-07 09:00:00,2013-06-12 09:00:00,1634.75,1629.5,-0.37115002293928717,8,1.0,Time Exit (Days),long,-0.27527144823367156,0.07646429117602604,-1.0399143599938876,-3.1197430799816517,30
2013-06-13 14:00:00,2013-06-18 14:00:00,1630.25,1647.5,1.0081199202576385,8,1.0,Time Exit (Days),long,-0.7667535654040769,-0.8894341358687274,-2.852323263303169,-2.0855696978990923,30
2013-06-26 08:26:00,2013-07-01 08:26:00,1594.75,1608.25,0.7965276689136214,8,1.0,Time Exit (Days),long,0.09405862987930114,0.6740868474682582,1.8341432826461723,4.608872864085289,30
2013-07-03 00:00:00,2013-07-08 00:00:00,1605.5,1628.75,1.3981469947057013,8,1.0,Time Exit (Days),long,1.1522890065400082,2.28900654001869,3.737153534724391,4.23544067268764,30
2013-07-09 00:00:00,2013-07-14 00:00:00,1642.25,1670.0,1.6397549094230468,8,1.0,Time Exit (Days),long,1.4157405997868855,1.6897549094230468,1.8115390470391235,2.7858121479677367,30
2013-07-15 00:00:00,2013-07-20 00:00:00,1674.5,1689.75,0.8607196177963627,8,1.0,Time Exit (Days),long,-0.14929829799940064,0.1343684681994528,1.209316213795164,0.5971931919976026,30
2013-07-21 00:00:00,2013-07-25 04:20:00,1689.75,1672.8525,-1.050000000000001,1,1.0,Stop Loss,long,0.295901760615469,-0.41426246486166995,-0.16274596833850685,0.7989347536617952,30
2013-07-29 00:12:00,2013-08-03 00:12:00,1683.5,1703.25,1.1231511731511767,8,1.0,Time Exit (Days),long,0.31185031185030354,1.1731511731511768,0.38610038610038533,0.28215028215028415,30
