entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_threshold
2013-03-15 00:00:00,2013-03-17 17:00:00,1557.25,1541.6775,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.5618879434901247,-0.5618879434901247,-0.2247551773960521,0.41740247230694916,30
2013-03-18 00:00:00,2013-04-05 07:30:00,1531.25,1536.6399999999999,0.30199999999999677,5,Trailing Stop Loss,long,0.6204081632652958,0.58775510204081,1.208163265306128,1.6489795918367411,30
2013-04-08 00:00:00,2013-04-15 11:53:00,1548.0,1561.1399999999999,0.7988372093023111,5,Trailing Stop Loss,long,0.9205426356589053,2.406330749354013,0.2422480620154932,0.3068475452196351,30
2013-04-23 00:00:00,2013-05-08 20:28:00,1553.0,1630.65,4.950000000000005,3,Take Profit,long,1.4488087572440467,1.5292981326464838,2.495170637475863,4.314230521571161,30
2013-05-09 00:00:00,2013-05-22 14:20:00,1628.25,1652.035,1.4107707661600022,5,Trailing Stop Loss,long,0.06141563027790564,1.1361891601412655,1.3511438661139241,1.1208352525717835,30
2013-05-26 00:00:00,2013-05-29 10:00:00,1650.0,1639.295,-0.698787878787871,5,Trailing Stop Loss,long,0.363636363636366,-0.13636363636363447,-1.3636363636363669,-0.666666666666671,30
2013-05-30 00:00:00,2013-05-31 14:58:00,1647.75,1631.2725,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-1.228948566226673,-1.077226521013508,-1.502048247610377,-0.7130936125018916,30
2013-07-05 09:31:00,2013-07-21 17:03:00,1611.0,1691.5500000000002,4.950000000000005,3,Take Profit,long,2.0173805090006214,3.553693358162624,3.662321539416502,4.88826815642458,30
2013-07-22 00:00:00,2013-07-25 04:18:00,1691.25,1674.3375,-1.0499999999999898,1,Fixed Percentage Stop Loss,long,-0.19216555801921942,-0.19216555801921942,-0.3991130820399147,0.4878048780487809,30
2013-07-26 00:00:00,2013-07-26 09:55:00,1688.0,1671.12,-1.050000000000012,1,Fixed Percentage Stop Loss,long,-0.20734597156397694,0.04443127962086013,0.9034360189573487,-0.17772511848340722,30
2013-07-27 00:00:00,2013-08-15 00:00:00,1687.0,1679.75,-0.4797569650266731,4,MA Crossover,long,-0.14819205690574933,0.10373443983402453,0.9632483698873706,-0.11855364552459946,30
2013-09-09 12:12:00,2013-09-23 09:58:00,1665.75,1692.215,1.5387738256040728,5,Trailing Stop Loss,long,1.320726399519745,1.0205613087197918,2.011106108359595,1.5758667266996929,30
2013-10-01 00:00:00,2013-10-02 00:00:00,1679.25,1686.75,0.3966279589102173,4,MA Crossover,long,0.11910078904273647,0.16376358493375154,-1.3845466726217115,1.265445883578975,30
