entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2013-01-02 14:52:00,2013-02-05 13:45:00,1452.75,1510.8600000000001,3.9500000000000037,3,Take Profit,long,0.4818447771467893,0.03441748408190559,0.9981070383754842,1.6176217518499403,30
2013-02-07 00:00:00,2013-02-21 08:52:00,1505.75,1499.3999999999999,-0.47171675244895295,5,Trailing Stop Loss,long,0.5312966959986731,0.7305329569981645,0.6641208699983414,-0.04980906524987283,30
2013-02-22 14:59:00,2013-02-25 00:00:00,1514.25,1515.0,-0.000470529965329548,4,MA Crossover,long,-1.535413571074784,-0.1650982334489015,0.1650982334489015,2.0307082714214886,30
2013-02-27 10:14:00,2013-04-05 07:30:00,1508.0,1536.6399999999999,1.8492042440318268,5,Trailing Stop Loss,long,0.5802387267904496,2.0557029177718844,2.3872679045092937,3.265915119363405,30
2013-04-08 14:14:00,2013-04-15 11:53:00,1554.0,1561.1399999999999,0.4094594594594436,5,Trailing Stop Loss,long,1.8178893178893096,1.8018018018018056,0.7561132561132666,1.38352638352639,30
2013-04-16 11:54:00,2013-04-17 09:19:00,1566.5,1550.835,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-1.6597510373444035,-1.1490584104691948,0.5745292052345974,0.9256303862112958,30
2013-04-21 20:44:00,2013-05-07 08:50:00,1556.5,1618.76,3.9500000000000037,3,Take Profit,long,1.2206874397687084,1.3973658849983916,1.300995823964013,3.3729521362030113,30
2013-05-08 00:00:00,2013-05-22 09:29:00,1620.0,1684.8,3.9500000000000037,3,Take Profit,long,0.43209876543210957,0.7253086419753085,2.0524691358024594,1.8364197530864157,30
2013-05-24 00:42:00,2013-05-29 10:00:00,1650.75,1639.295,-0.7439270028774703,5,Trailing Stop Loss,long,0.34832651824927563,0.22716946842344932,-1.4084507042253502,-0.7117976677267879,30
2013-05-30 06:05:00,2013-05-31 14:52:00,1652.5,1635.975,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-1.5128593040847238,-2.4508320726172483,-0.8169440242057457,-2.1028744326777593,30
