entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,fear_threshold
2013-06-25 00:00:00,2013-07-04 08:01:00,1562.0,1624.48,3.9500000000000037,2,ATR-Based Stop Loss,long,2.3367477592829644,2.192701664532648,2.7848911651728647,5.217669654289381,20
2014-02-06 00:00:00,2014-02-11 13:46:00,1746.5,1816.3600000000001,3.9500000000000037,2,ATR-Based Stop Loss,long,2.6910964786716285,4.079587746922408,4.079587746922408,5.482393358144866,20
2014-08-04 10:21:00,2014-08-07 14:16:00,1920.5,1901.295,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.1952616506118221,0.143191877115334,0.5988023952095745,2.876854985680821,20
2014-08-08 00:00:00,2014-08-19 00:07:00,1895.0,1970.8,3.9500000000000037,2,ATR-Based Stop Loss,long,2.0712401055408947,2.6253298153034343,3.100263852242735,4.894459102902382,20
2014-09-24 00:00:00,2014-10-01 08:39:00,1974.5,1954.7549999999999,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.5444416307926025,-0.17726006583945741,-1.6080020258293248,-0.4937958976956147,20
2014-10-03 00:00:00,2014-10-07 14:21:00,1942.5,1931.58,-0.6121621621621609,4,MA Crossover,long,0.6692406692406783,1.1454311454311528,-2.483912483912487,-3.2046332046332004,20
2014-10-08 00:00:00,2014-10-09 11:26:00,1931.25,1929.1299999999999,-0.15977346278318033,4,MA Crossover,long,-0.5825242718446644,-2.9644012944983866,-4.142394822006468,-0.3236245954692518,20
2014-10-17 00:00:00,2014-10-21 12:34:00,1854.75,1928.94,3.9500000000000037,2,ATR-Based Stop Loss,long,2.035314732443716,3.787572449117138,5.701577031945004,8.329963606955104,20
2014-10-22 00:00:00,2014-10-31 01:15:00,1936.75,2014.22,3.9500000000000037,2,ATR-Based Stop Loss,long,0.051632890151021016,1.2391893636246376,1.8329676003614237,3.975732541629018,20
2015-07-01 00:00:00,2015-07-05 17:00:00,2061.5,2040.885,-1.050000000000001,1,Fixed Percentage Stop Loss,long,0.4123211253941328,0.48508367693427257,-0.4608294930875556,2.389037108901282,20
2015-07-06 00:00:00,2015-07-07 10:34:00,2041.25,2036.44,-0.28563992651560727,4,MA Crossover,long,0.7470912431108312,1.0410287813839458,2.571953459889764,3.9804041641151144,20
2015-07-09 00:00:00,2015-07-24 11:26:00,2052.5,2083.725,1.4713154689403207,4,MA Crossover,long,0.8769792935444665,2.4847746650426217,3.0816077953714993,2.216808769792933,20
2015-07-28 00:00:00,2015-08-07 10:13:00,2073.0,2067.065,-0.336300048239263,4,MA Crossover,long,1.2542209358417766,1.266280752532567,0.6391702846116676,-0.33767486734201935,20
