Parameter: es_decline_pct,Total Trades,Win Rate (%),Profit Factor,Total Return (%),Max Drawdown (%),Avg Duration (hrs),Stop Loss Exits,Trailing SL Exits,Take Profit Exits,MA Cross Exits
-0.5,281.0,42.34875444839858,2.0232504836478538,283.03836456593115,-11.407663158819341,236.46939501779357,98.0,96.0,56.0,31.0
-1.0,254.0,41.732283464566926,2.0389190734599363,248.1618117423776,-10.861024083258549,220.03641732283464,87.0,86.0,52.0,29.0
-2.0,137.0,43.06569343065693,2.0053807532539496,95.02286832743172,-10.540188944747433,132.33771289537714,52.0,37.0,29.0,19.0
-3.0,45.0,35.55555555555556,1.8749691570850855,21.992347386853094,-5.853058644586682,93.28407407407407,17.0,11.0,10.0,7.0
