Parameter: es_decline_pct,Total Trades,Win Rate (%),Profit Factor,Total Return (%),Max Drawdown (%),Avg Duration (hrs),Stop Loss Exits,Trailing SL Exits,Take Profit Exits,MA Cross Exits
-5,0,0,N/A,0,0,0,0,0,0,0
-6,0,0,N/A,0,0,0,0,0,0,0
-7,0,0,N/A,0,0,0,0,0,0,0
-8,0,0,N/A,0,0,0,0,0,0,0
-10,0,0,N/A,0,0,0,0,0,0,0
-11,0,0,N/A,0,0,0,0,0,0,0
-15,0,0,N/A,0,0,0,0,0,0,0
