Parameter: fear_threshold,Total Trades,Win Rate (%),Profit Factor,Total Return (%),Max Drawdown (%),Avg Duration (hrs),Stop Loss Exits,ATR Stop Loss Exits,Trailing SL Exits,Take Profit Exits,MA Cross Exits,Price Below MA Exits,VIX Spike Exits,Time Exit (Days) Exits,Time Exit (Same Day) Exits
20,74.0,55.4054054054054,2.974475876582942,71.1524420548491,-4.954834767155152,89.23626126126128,19.0,16.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
25,112.0,60.71428571428571,3.9109314166555587,186.88790587466974,-4.996683397624321,98.55461309523808,25.0,29.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
30,143.0,56.64335664335665,3.436623012700974,236.45208309346782,-5.562638112366212,104.23671328671328,34.0,35.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0
35,176.0,54.54545454545454,3.1235866359938833,291.6352968560156,-4.9966833976243175,127.72395833333331,45.0,41.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
40,216.0,54.166666666666664,3.3409056227047382,508.6852971731612,-6.1997989311041986,139.38333333333333,51.0,54.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0
45,251.0,54.581673306772906,3.2633494013605167,692.038203166476,-5.103537176950625,138.9750332005312,61.0,62.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0
