Parameter: es_decline_pct,Total Trades,Win Rate (%),Profit Factor,Total Return (%),Max Drawdown (%),Avg Duration (hrs),Stop Loss Exits,Trailing SL Exits,Take Profit Exits,MA Cross Exits
-4,48.0,39.58333333333333,1.5366126324718117,14.465150244224013,-8.974660002194144,39.26145833333334,22.0,10.0,13.0,3.0
-5,35.0,45.714285714285715,2.0853798842391034,19.06460252151927,-5.612372331960238,39.56619047619048,13.0,8.0,11.0,3.0
-6,26.0,46.15384615384615,2.103713152410259,13.622147822935204,-4.6107855805561,41.67884615384616,9.0,8.0,8.0,1.0
-7,14.0,42.857142857142854,1.8600509182391791,5.4500216942012125,-4.610785580556084,27.436904761904763,4.0,6.0,3.0,1.0
