Parameter: es_decline_pct,Total Trades,Win Rate (%),Profit Factor,Total Return (%),Max Drawdown (%),Avg Duration (hrs),Stop Loss Exits,ATR Stop Loss Exits,Trailing SL Exits,Take Profit Exits,MA Cross Exits,Price Below MA Exits,VIX Spike Exits,Time Exit (Days) Exits,Time Exit (Same Day) Exits
-0.5,310.0,46.45161290322581,2.026462575508584,315.9071004038421,-9.952036941457248,218.50177419354839,106.0,0.0,110.0,53.0,41.0,0.0,0.0,0.0,0.0
-1.0,285.0,47.01754385964912,2.1748281094693964,304.12781327962824,-6.088935514485575,205.1356140350877,88.0,0.0,110.0,48.0,39.0,0.0,0.0,0.0,0.0
-2.0,175.0,48.0,2.262535388733432,166.95086125979088,-10.56689017472254,124.45980952380953,61.0,0.0,55.0,35.0,24.0,0.0,0.0,0.0,0.0
-3.0,63.0,46.03174603174603,1.7866510298469036,23.81180221017656,-5.816491993220478,76.26798941798941,21.0,0.0,24.0,10.0,8.0,0.0,0.0,0.0,0.0
