Parameter: fear_threshold,Total Trades,Win Rate (%),Profit Factor,Total Return (%),Max Drawdown (%),Avg Duration (hrs),Stop Loss Exits,Trailing SL Exits,Take Profit Exits,MA Cross Exits
20,61.0,50.81967213114754,3.258544468133754,73.22818402189219,-7.078781214201257,91.36120218579235,18.0,25.0,18.0,0.0
25,88.0,54.54545454545454,4.234429417038643,167.80893254751,-5.1374251867455385,123.95227272727274,20.0,38.0,30.0,0.0
30,117.0,51.28205128205128,3.39271427221732,193.0830413754515,-5.39647897418928,125.44643874643874,29.0,53.0,35.0,0.0
35,146.0,50.68493150684932,3.215898385201819,266.02422158502117,-5.137425186745535,145.4981735159817,40.0,62.0,44.0,0.0
40,182.0,51.64835164835166,3.393108888239768,452.2318807294332,-6.6870488258684535,160.23608058608056,48.0,77.0,57.0,0.0
45,205.0,52.19512195121951,3.378856109468466,551.0192896961296,-5.957381428889749,166.88081300813008,54.0,89.0,62.0,0.0
