event_date,event_type,surprise_direction,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2,return_day_+3,return_day_+4,return_day_+5
2013-01-30,FOMC,inline,-0.1849683291637816,0.51060539401937,-0.3040078590677897,-0.25633172654399017,1.0052666359613216,-1.1538690299173315,-1.1538690299173315,-1.1538690299173315
2013-03-20,FOMC,inline,-0.5510347920804848,-0.2422524321886499,0.12075820738295384,-0.8282490007762933,0.7174278690645686,-0.3339991906942674,-0.3339991906942674,-0.3339991906942674
2013-05-01,FOMC,inline,0.7186014763878923,0.24849241658875254,-0.3419115563587427,0.9407973715801932,1.0534617768013232,0.190780589933226,0.190780589933226,0.190780589933226
2013-06-19,FOMC,inline,0.7567328321233413,0.7791146036704388,-1.2781663252566577,-2.5010282823694108,0.2669705765683039,-1.2144960846002695,-1.2144960846002695,-1.2144960846002695
2013-07-31,FOMC,inline,-0.37359973989892215,0.03738140304867521,-0.34170652257450307,1.254056106256618,0.16404295581973205,-0.1479817742605305,-0.1479817742605305,-0.1479817742605305
2013-09-18,FOMC,inline,0.5693161689346526,0.42177191328935937,0.4488272859047404,-0.18429227131532278,-0.7216925810234809,-0.47195466428058275,-0.47195466428058275,-0.47195466428058275
2013-10-30,FOMC,inline,0.13297192246712886,0.5584214379352082,-0.23141337557995856,-0.3839370275221077,0.29034351623078436,0.3570536545491665,0.3570536545491665,0.3570536545491665
2013-12-18,FOMC,inline,0.6319987382556347,-0.31009661132691546,2.377586791812747,-0.057990224505022336,0.4818744473916947,0.5318095824717428,0.5318095824717428,0.5318095824717428
2014-01-29,FOMC,inline,-0.48763049561802996,0.6140685691192083,-0.4673133130999152,1.1267049938000318,-0.646531303819553,-2.283194677407585,-2.283194677407585,-2.283194677407585
2014-03-19,FOMC,inline,0.9613661175473576,0.7219595121662481,-0.5201817695803301,0.6040510111405606,-0.29326766416846173,-0.48646679381950664,-0.48646679381950664,-0.48646679381950664
2014-04-30,FOMC,inline,0.323602017816893,0.47608094445898974,0.23516517427228933,-0.014331590541150074,-0.13484243608256063,0.18712057582104258,0.18712057582104258,0.18712057582104258
2014-06-18,FOMC,inline,0.08367077101065767,0.21725892516177847,0.7563237209685436,0.12774785639098063,0.17300508298119244,-0.01324591032518807,-0.01324591032518807,-0.01324591032518807
2014-07-30,FOMC,inline,0.028812034331826553,-0.45277450717819967,0.22027328130882484,-1.9999289365352446,-0.2859111085788846,0.7189050203880276,0.7189050203880276,0.7189050203880276
2014-09-17,FOMC,inline,-0.0710134270777596,0.7484388623729243,0.05198622365072403,0.4891160439055353,-0.04772889984885342,-0.8013330680461617,-0.8013330680461617,-0.8013330680461617
2014-10-29,FOMC,inline,-0.15015932158526368,1.193905068743839,0.27366216633195606,0.6230136709882483,1.173138144536634,-0.011892668665292039,-0.011892668665292039,-0.011892668665292039
2014-12-17,FOMC,inline,-0.6342610858349973,-0.8489015545603995,0.3649835208943131,2.4015221894887473,0.45700867928373246,0.38103977012049484,0.38103977012049484,0.38103977012049484
2015-01-28,FOMC,better,0.2568451423614171,-1.33878439932138,-1.5300476572221,0.9534702521277083,-1.2991960420531856,1.29624709898295,1.29624709898295,1.29624709898295
2015-03-18,FOMC,inline,1.353365150482122,-0.3320215838054086,1.0331900886897616,-0.4872588711598014,0.9012717360609157,-0.1745647739670675,-0.1745647739670675,-0.1745647739670675
2015-04-29,FOMC,inline,-0.41413049124281454,0.27691899171140566,0.11118977814310593,-1.0128865367728945,1.0922987662490113,0.2936028724701112,0.2936028724701112,0.2936028724701112
2015-06-17,FOMC,inline,-0.46272640883239236,0.5694629681158192,0.3717756348379675,0.9897926148806802,-0.5303526727417629,0.6099583882311688,0.6099583882311688,0.6099583882311688
2015-07-29,FOMC,inline,-0.577501021806559,1.2386102029366963,0.18244620450129645,0.002845530383144279,-0.22716171163267296,-0.2756863639820639,-0.2756863639820639,-0.2756863639820639
2015-09-17,FOMC,inline,1.2831344116577714,0.8705367298757816,-0.7237954616877262,-1.6164204602552523,0.4565813598361723,0.4565813598361723,0.4565813598361723,-1.231843902042229
2015-10-28,FOMC,inline,-0.1917933643351133,-0.25492837381770883,0.5589951556960182,-0.044968545937285054,-0.48099702786910115,1.1873845798707316,1.1873845798707316,1.1873845798707316
2015-12-16,FOMC,inline,0.475558669628362,1.0618514891638675,1.4167535015239041,-1.5040495497016582,-1.7797236873680844,0.7778414898656383,0.7778414898656383,0.7778414898656383
2016-01-27,FOMC,better,-1.5637946405160252,1.4144309246276299,-1.5183213213527336,0.5528558910220527,2.476021464486422,-0.0443244134746168,-0.0443244134746168,-0.0443244134746168
2016-03-16,FOMC,inline,-0.12610091039911842,-0.18369610425620353,0.4135977056472173,0.6595238799932845,0.44055885797735783,0.09855677748611402,0.09855677748611402,0.09855677748611402
2016-04-27,FOMC,inline,-0.18120272712495167,0.18680039659162428,0.4911482989673477,-0.9230842660430061,-0.506308380824827,0.7805161477751454,0.7805161477751454,0.7805161477751454
2016-06-15,FOMC,inline,-0.8115186992800894,-0.17988898829277566,-0.6531998158379348,0.31281679942070095,-0.3257971684039296,0.5813027167694163,0.5813027167694163,0.5813027167694163
2016-07-27,FOMC,inline,-0.30114527155947757,0.031819523352760726,0.23873194474002268,0.16062180948777094,0.16312913007012764,-0.12697828487301388,-0.12697828487301388,-0.12697828487301388
2016-09-21,FOMC,inline,-0.0018698928551330596,0.029918845132592686,0.7771006876502451,0.6499870557343135,-0.5736778768866024,-0.858783474770064,-0.858783474770064,-0.858783474770064
