,Entry_time,Entry_price,Exit_time,Exit_price,Trade_duration_hours,Exit_reason,pnl_pct
2015-03-13 10:25:00,2015-03-12 09:31:00,2057.25,2015-03-13 10:25:00,2036.6775,24.9,Stop Loss,-1.050000000000001
2015-03-25 11:40:00,2015-03-24 14:55:00,2083.75,2015-03-25 11:40:00,2062.9125,20.75,Stop Loss,-1.050000000000001
2015-04-01 09:30:00,2015-03-31 09:32:00,2072.5,2015-04-01 09:30:00,2051.775,23.966666666666665,Stop Loss,-1.050000000000001
2015-05-06 09:35:00,2015-05-05 10:00:00,2096.0,2015-05-06 09:35:00,2075.04,23.583333333333332,Stop Loss,-1.050000000000001
2015-06-05 09:30:00,2015-06-04 09:32:00,2103.25,2015-06-05 09:30:00,2097.5,23.966666666666665,MA Cross,-0.32338642576963944
2019-02-04 13:05:00,2019-01-29 09:48:00,2639.25,2019-02-04 13:05:00,2718.4275000000002,147.28333333333333,Take Profit,2.950000000000003
2019-03-07 09:30:00,2019-03-05 09:45:00,2786.5,2019-03-07 09:30:00,2758.6349999999998,47.75,Stop Loss,-1.050000000000012
2019-04-12 09:30:00,2019-03-27 09:40:00,2816.75,2019-04-12 09:30:00,2901.2525,383.8333333333333,Take Profit,2.950000000000003
2019-05-07 12:15:00,2019-05-02 11:11:00,2908.0,2019-05-07 12:15:00,2878.92,121.06666666666666,Stop Loss,-1.050000000000001
2019-05-13 09:30:00,2019-05-10 13:01:00,2868.75,2019-05-13 09:30:00,2840.0625,68.48333333333333,Stop Loss,-1.050000000000001
2019-05-20 13:35:00,2019-05-17 09:37:00,2870.0,2019-05-20 13:35:00,2841.3,75.96666666666667,Stop Loss,-1.0499999999999898
2019-07-12 14:55:00,2019-06-27 09:35:00,2929.0,2019-07-12 14:55:00,3016.87,365.3333333333333,Take Profit,2.950000000000003
2019-08-01 13:20:00,2019-07-31 13:45:00,2981.75,2019-08-01 13:20:00,2951.9325,23.583333333333332,Stop Loss,-1.050000000000001
2019-09-27 13:45:00,2019-09-27 09:31:00,2980.0,2019-09-27 13:45:00,2950.2,4.233333333333333,Stop Loss,-1.050000000000001
2019-10-28 09:30:00,2019-10-10 10:05:00,2946.0,2019-10-28 09:30:00,3034.38,431.4166666666667,Take Profit,2.950000000000003
2019-12-19 10:20:00,2019-12-05 09:31:00,3110.5,2019-12-19 10:20:00,3203.815,336.81666666666666,Take Profit,2.950000000000003
2020-01-31 09:30:00,2020-01-30 09:31:00,3254.75,2020-01-31 09:30:00,3254.0,23.983333333333334,MA Cross,-0.07304324448882955
2020-02-24 09:30:00,2020-02-20 10:30:00,3347.0,2020-02-24 09:30:00,3313.5299999999997,95.0,Stop Loss,-1.050000000000012
2020-07-24 12:10:00,2020-07-23 13:00:00,3227.0,2020-07-24 12:10:00,3194.73,23.166666666666668,Stop Loss,-1.050000000000001
2020-08-06 12:50:00,2020-07-31 09:31:00,3230.5,2020-08-06 12:50:00,3327.415,147.31666666666666,Take Profit,2.950000000000003
2020-08-24 14:55:00,2020-08-11 14:47:00,3329.25,2020-08-24 14:55:00,3429.1275,312.1333333333333,Take Profit,2.950000000000003
2020-09-17 09:30:00,2020-09-16 14:02:00,3406.0,2020-09-17 09:30:00,3371.94,19.466666666666665,Stop Loss,-1.050000000000001
2020-11-12 12:10:00,2020-11-12 09:31:00,3557.25,2020-11-12 12:10:00,3521.6775,2.65,Stop Loss,-1.050000000000001
2020-12-01 09:30:00,2020-11-20 09:31:00,3563.25,2020-12-01 09:30:00,3670.1475,263.98333333333335,Take Profit,2.950000000000003
2020-12-21 09:30:00,2020-12-15 11:01:00,3665.5,2020-12-21 09:30:00,3628.845,142.48333333333332,Stop Loss,-1.050000000000001
2021-01-07 09:30:00,2020-12-22 10:36:00,3672.75,2021-01-07 09:30:00,3782.9325,382.9,Take Profit,2.950000000000003
2021-01-27 14:25:00,2021-01-19 10:15:00,3775.0,2021-01-27 14:25:00,3737.25,196.16666666666666,Stop Loss,-1.050000000000001
2021-02-12 14:50:00,2021-02-03 09:34:00,3812.25,2021-02-12 14:50:00,3926.6175000000003,221.26666666666668,Take Profit,2.950000000000003
2021-02-23 09:30:00,2021-02-19 11:41:00,3908.25,2021-02-23 09:30:00,3869.1675,93.81666666666666,Stop Loss,-1.050000000000001
2021-02-25 11:25:00,2021-02-25 09:31:00,3894.5,2021-02-25 11:25:00,3855.555,1.9,Stop Loss,-1.050000000000001
2021-03-03 09:30:00,2021-03-02 09:35:00,3876.25,2021-03-03 09:30:00,3837.4875,23.916666666666668,Stop Loss,-1.0499999999999898
