event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2013-01-16,CPI,better,1.7595,1.7999999999999998,-2.2499999999999867,-0.09306749091402278,0.11287295672748332,0.019696537484570342,0.564296530696784,0.34032438856401726
2013-01-30,FOMC,inline,0.12,0.13,-7.692307692307699,-0.1849683291637816,0.51060539401937,-0.3040078590677897,-0.25633172654399017,1.0052666359613216
2013-02-21,CPI,worse,1.68406,1.6,5.253749999999988,0.7336539916699136,-1.240414385932831,-0.6303118489368043,0.8772513677932858,-1.8309580364212152
2013-03-15,CPI,worse,2.01814,1.9,6.2178947368421005,0.13140265897144676,0.5603015721894922,-0.16184438630272302,-0.5510347920804848,-0.5510347920804848
2013-03-20,FOMC,inline,0.15,0.12,25.0,-0.5510347920804848,-0.2422524321886499,0.12075820738295384,-0.8282490007762933,0.7174278690645686
2013-04-16,CPI,better,1.51875,1.6,-5.078125000000003,-2.296629637788339,-2.296629637788339,1.4307248318689014,-1.432772121912651,-0.6700987751367626
2013-05-01,FOMC,inline,0.14,0.15,-6.666666666666654,0.7186014763878923,0.24849241658875254,-0.3419115563587427,0.9407973715801932,1.0534617768013232
2013-05-16,CPI,better,1.13881,1.3,-12.399230769230766,1.014218647667664,0.5114097701079734,-0.5009705928453401,1.030009633619522,-0.07076589084061835
2013-06-18,CPI,inline,1.39039,1.4,-0.6864285714285798,0.7567328321233413,0.7567328321233413,0.7791146036704388,-1.385147202160053,-2.5010282823694108
2013-06-19,FOMC,inline,0.1,0.14,-28.571428571428577,0.7567328321233413,0.7791146036704388,-1.2781663252566577,-2.5010282823694108,0.2669705765683039
2013-07-16,CPI,worse,1.71579,1.7000000000000002,0.9288235294117498,0.13748445116326113,0.13748445116326113,-0.37087667161961324,0.27740326679632776,0.5032988083835344
2013-07-31,FOMC,inline,0.09,0.1,-10.000000000000009,-0.37359973989892215,0.03738140304867521,-0.34170652257450307,1.254056106256618,0.16404295581973205
2013-08-15,CPI,better,1.88547,2.0,-5.7265000000000015,0.27760185146821215,-0.5176606695943664,-1.428156094435129,-0.3304601160523002,-0.5900364167819139
2013-09-17,CPI,better,1.53881,1.6,-3.8243750000000047,0.5693161689346526,0.5693161689346526,0.42177191328935937,1.217766723761704,-0.18429227131532278
2013-09-18,FOMC,inline,0.08,0.09,-11.111111111111107,0.5693161689346526,0.42177191328935937,0.4488272859047404,-0.18429227131532278,-0.7216925810234809
2013-10-30,CPI,better,1.09473,1.2,-8.772499999999999,0.13297192246712886,0.5584214379352082,-0.4875984085329743,-0.3839370275221077,0.29034351623078436
2013-10-30,FOMC,inline,0.08,0.08,0.0,0.13297192246712886,0.5584214379352082,-0.23141337557995856,-0.3839370275221077,0.29034351623078436
2013-11-20,CPI,better,0.8768,1.0,-12.319999999999997,-0.3698183719093806,-0.20429465317355344,-0.3635611090291757,0.8128575197741128,0.496143887295708
2013-12-17,CPI,better,1.23287,1.3,-5.163846153846164,0.6319987382556347,0.6319987382556347,-0.31009661132691546,1.6647950589556482,-0.057990224505022336
2013-12-18,FOMC,inline,0.09,0.08,12.499999999999991,0.6319987382556347,-0.31009661132691546,2.377586791812747,-0.057990224505022336,0.4818744473916947
2014-01-16,CPI,worse,1.51284,1.5,0.8559999999999975,1.0817941952506738,0.5166188114504422,-0.1347125591058096,-0.38951400137603454,0.2773698808941072
2014-01-29,FOMC,inline,0.07,0.15,-53.333333333333336,-0.48763049561802996,0.6140685691192083,-0.4673133130999152,1.1267049938000318,-0.646531303819553
2014-02-20,CPI,better,1.55776,1.6,-2.6400000000000032,0.11584712530525731,-0.6524479019535456,0.6031442241968499,-0.19187076715694307,0.6186521443158455
2014-03-18,CPI,better,1.12047,1.2,-6.627499999999991,0.9613661175473576,0.9613661175473576,0.7219595121662481,-0.6131659767659281,0.6040510111405606
2014-03-19,FOMC,inline,0.08,0.07,14.285714285714276,0.9613661175473576,0.7219595121662481,-0.5201817695803301,0.6040510111405606,-0.29326766416846173
2014-04-15,CPI,worse,1.61269,1.4,15.192142857142844,0.8217261757238248,0.8217261757238248,0.6757310404728489,1.048844805695115,0.13638975251166752
2014-04-30,FOMC,inline,0.09,0.08,12.499999999999991,0.323602017816893,0.47608094445898974,0.23516517427228933,-0.014331590541150074,-0.13484243608256063
2014-05-15,CPI,worse,2.01513,2.0,0.7565000000000044,0.042179632509942167,-0.47010461408732995,-0.9361778737960291,0.37469599379960083,0.3844802061921504
2014-06-17,CPI,worse,2.16695,2.0,8.347499999999997,0.08367077101065767,0.08367077101065767,0.21725892516177847,0.7718886297045868,0.12774785639098063
2014-06-18,FOMC,inline,0.1,0.09,11.11111111111112,0.08367077101065767,0.21725892516177847,0.7563237209685436,0.12774785639098063,0.17300508298119244
2014-07-22,CPI,better,2.05898,2.1,-1.953333333333336,-0.23202677154209317,-0.23202677154209317,0.5016137776584273,0.17544478782776096,0.048817066849182744
2014-07-30,FOMC,inline,0.09,0.1,-10.000000000000009,0.028812034331826553,-0.45277450717819967,0.22027328130882484,-1.9999289365352446,-0.2859111085788846
2014-08-19,CPI,better,1.97424,2.0,-1.2880000000000005,0.853170746677856,0.853170746677856,0.5000659316136913,0.2477795720629894,0.2949897055640305
2014-09-17,CPI,better,1.7151,1.9,-9.731578947368414,-0.0710134270777596,0.7484388623729243,0.12956607870013848,0.4891160439055353,-0.04772889984885342
2014-09-17,FOMC,inline,0.09,0.09,0.0,-0.0710134270777596,0.7484388623729243,0.05198622365072403,0.4891160439055353,-0.04772889984885342
2014-10-22,CPI,worse,1.68405,1.6,5.253124999999997,0.9142657253704778,1.9574477024805637,-0.7299307673287792,1.2303397315150733,0.7053444192698377
2014-10-29,FOMC,inline,0.09,0.09,0.0,-0.15015932158526368,1.193905068743839,0.27366216633195606,0.6230136709882483,1.173138144536634
2014-11-20,CPI,inline,1.60954,1.6,0.5962499999999926,0.5133932945349251,-0.15059947363291748,0.1971972607152761,0.5236877359639402,0.28640659074388175
2014-12-17,CPI,better,1.23152,1.4,-12.034285714285726,-0.6342610858349973,-0.8489015545603995,2.0352403256384655,2.4015221894887473,0.45700867928373246
2014-12-17,FOMC,inline,0.13,0.09,44.44444444444445,-0.6342610858349973,-0.8489015545603995,0.3649835208943131,2.4015221894887473,0.45700867928373246
2015-01-16,CPI,better,0.65312,0.7000000000000001,-6.697142857142861,-0.5813062584341333,-0.924788815027322,1.3424199691870697,0.15499499856392873,0.15499499856392873
2015-01-28,FOMC,better,0.12,0.41,-70.73170731707317,0.2568451423614171,-1.33878439932138,-1.5300476572221,0.9534702521277083,-1.2991960420531856
2015-02-26,CPI,better,-0.22993,-0.1,-129.92999999999998,0.2758738374904146,-0.07657836519371353,-0.14807035470656427,-0.29515854704296185,0.6124970301734312
2015-03-18,FOMC,inline,0.11,0.12,-8.33333333333333,1.353365150482122,-0.3320215838054086,1.0331900886897616,-0.4872588711598014,0.9012717360609157
2015-03-24,CPI,worse,-0.08703,-0.1,12.97000000000001,-0.1745647739670675,-0.1745647739670675,-0.6139458853270718,-1.4558928998326448,-0.23774289803740745
2015-04-17,CPI,better,-0.02203,0.1,-122.03,0.5148293762882616,-0.07832414804688215,-1.1311271365998743,0.923999481061144,0.923999481061144
2015-04-29,FOMC,inline,0.13,0.11,18.181818181818183,-0.41413049124281454,0.27691899171140566,0.11118977814310593,-1.0128865367728945,1.0922987662490113
2015-05-22,CPI,inline,-0.10403,-0.1,-4.029999999999992,-0.09305254649102368,0.23378883740623468,-0.22338817919862475,-1.0286633491058517,-1.0286633491058517
2015-06-17,FOMC,inline,0.14,0.13,7.692307692307699,-0.46272640883239236,0.5694629681158192,0.3717756348379675,0.9897926148806802,-0.5303526727417629
2015-06-18,CPI,worse,0.03503,0.0,0.0,0.5694629681158192,0.19796879248576982,0.9897926148806802,-0.5303526727417629,0.6099583882311688
2015-07-17,CPI,worse,0.17957,0.1,79.57,-0.07302246626267328,0.8014615165606864,0.11062519712468077,0.07711695444458933,0.07711695444458933
2015-07-29,FOMC,inline,0.14,0.14,0.0,-0.577501021806559,1.2386102029366963,0.18244620450129645,0.002845530383144279,-0.22716171163267296
2015-08-19,CPI,worse,0.22569,0.2,12.844999999999995,0.5211470973541132,-0.26255208234241545,-0.8254964424012301,-2.1100110116800797,-3.1850982202944356
2015-09-16,CPI,worse,0.2413,0.2,20.649999999999988,-0.40896458529868784,1.2831344116577714,0.8705367298757816,-0.25610055580335134,-1.6164204602552523
2015-09-17,FOMC,inline,0.14,0.14,0.0,1.2831344116577714,0.8705367298757816,-0.7237954616877262,-1.6164204602552523,0.4565813598361723
